ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK
 LACE-004,,P14-24,,150,3
 LACE-004,,P1B-30,,150,0
 LACE-004,,P27-613,,150,4
 LACE-004,,P4-27,,150,3
 LACE-004,,P4-30,,150,1
 LACE-004,,P6-27,,150,4
LACE-006,,1,Inch,150,0
 LACE-006,,001B,Inch,150,2
 LACE-006,,2,Inch,150,2
 LACE-006,,4,Inch,150,1
 LACE-006,,6,Inch,150,8
 LACE-006,,8,Inch,150,9
 LACE-006,,P10-16,Inch,150,8
 LACE-006,,P14-24,Inch,150,6
 LACE-006,,P1B-30,Inch,150,6
 LACE-006,,P27-613,Inch,150,4
 LACE-006,,P4-27,Inch,150,13
 LACE-006,,P4-30,Inch,150,3
 LACE-006,,P6-27,Inch,150,6
LACE-007,,1,,190,9
 LACE-007,,001B,,190,8
 LACE-007,,2,,190,5
 LACE-007,,4,,190,41
 LACE-007,,6,,190,1
 LACE-007,,8,,190,3
 LACE-007,,P10_16,,190,4
 LACE-007,,P14_24,,190,0
 LACE-007,,P1B_30,,190,7
 LACE-007,,P27_613,,190,1
 LACE-007,,P4_27,,190,12
 LACE-007,,P4_30,,190,1
 LACE-007,,P6_27,,190,0
LACE-008,,1,Inch,150,4
 LACE-008,,001B,Inch,150,0
 LACE-008,,2,Inch,150,0
 LACE-008,,4,Inch,150,3
LACE-009,,1,,150,4
 LACE-009,,001B,,150,0
 LACE-009,,2,,150,33
 LACE-009,,4,,150,39
 LACE-009,,P1B_30,,150,17
 LACE-009,,P4_27,,150,25
 LACE-009,,P4_30,,150,11
LACE-010,,1,,70,55
 LACE-010,,001B,,70,22
 LACE-010,,2,,70,4
 LACE-010,,4,,70,12
 LACE-010,,P1B_30,,70,16
 LACE-010,,P4_27,,70,16
 LACE-010,,P4_30,,70,29
LACE-011,,1,Inch,80,1
 LACE-011,,001B,Inch,80,-1
 LACE-011,,2,Inch,80,0
 LACE-011,,4,Inch,80,0
 LACE-011,,P1B_30,Inch,80,5
 LACE-011,,P4_27,Inch,80,15
 LACE-011,,P4_30,Inch,80,0
LACE-012,,1,Inch,60,37
 LACE-012,,001B,Inch,60,18
 LACE-012,,2,Inch,60,5
 LACE-012,,4,Inch,60,15
LINSEY,,1,Inch,21,10
 LINSEY,,001B,Inch,21,6
 LINSEY,,2,Inch,21,8
 LINSEY,,4,Inch,21,6
 LINSEY,,HL2_27S,Inch,21,10
 LINSEY,,HL2_350,Inch,21,2
 LINSEY,,HL2_613,Inch,21,39
 LINSEY,,HL2_BG,Inch,21,24
 LINSEY,,HL4_27,Inch,21,9
 LINSEY,,TTL1B_30,Inch,21,5
 LINSEY,,TTL1B_33,Inch,21,10
LISA,,1,Inch,35,1
 LISA,,001B,Inch,35,-1
 LISA,,2,Inch,35,0
 LISA,,4,Inch,35,11
 LISA,,F1B_30,Inch,35,0
 LISA,,F1B_33,Inch,35,15
 LISA,,F1B_99J,Inch,35,21
 LISA,,F1B_BG,Inch,35,34
 LISA,,F237,Inch,35,4
 LISA,,F4_27,Inch,35,15
 LISA,,P27_613,Inch,35,3
MARU,,1,Inch,20,-1
 MARU,,001B,Inch,20,-3
 MARU,,2,Inch,20,-1
 MARU,,4,Inch,20,-1
 MARU,,34,Inch,20,0
 MARU,,280,Inch,20,0
 MARU,,DX2216,Inch,20,11
 MARU,,DX3147,Inch,20,0
 MARU,,DX4130,Inch,20,7
 MARU,,DX4145,Inch,20,13
 MARU,,F1B_30,Inch,20,-2
 MARU,,F1B_33,Inch,20,7
 MARU,,F4_30,Inch,20,-1
NICOLE,,1,Inch,50,11
 NICOLE,,001B,Inch,50,18
 NICOLE,,2,Inch,50,14
 NICOLE,,4,Inch,50,10
 NICOLE,,F1B_27,Inch,50,4
 NICOLE,,F1B_30,Inch,50,10
 NICOLE,,F1B_33,Inch,50,6
 NICOLE,,F1B_99J,Inch,50,36
 NICOLE,,F1B_BG,Inch,50,1
 NICOLE,,F237,Inch,50,9
 NICOLE,,P27_613,Inch,50,6
 NICOLE,,TT1B_27,Inch,50,4
 NICOLE,,TT1B_33,Inch,50,9
 NICOLE,,TT1B_BG,Inch,50,53
 NICOLE,,32,Inch,500,500
cff,4,,2.07627E+36,5,5
